#Time TotalMass(kg) flux(x0) flux(x1) flux(y0) flux(y1)
30.2513 0.433344 -0.00500001 3.63926e-14 0 0
30.3513 0.434772 -0.00500001 3.87081e-14 0 0
30.4513 0.436201 -0.00500001 4.11622e-14 0 0
30.5513 0.437629 -0.00500001 4.37629e-14 0 0
30.6513 0.439057 -0.00500001 4.65184e-14 0 0
30.7513 0.440485 -0.00500001 4.94372e-14 0 0
30.8513 0.441914 -0.00500001 5.25284e-14 0 0
30.9513 0.443342 -0.00500001 5.58016e-14 0 0
31.0512 0.444771 -0.00500001 5.92669e-14 0 0
31.1512 0.446199 -0.00500001 6.29348e-14 0 0
31.2512 0.447628 -0.00500001 6.68165e-14 0 0
31.3512 0.449056 -0.00500001 7.09235e-14 0 0
31.4512 0.450485 -0.00500001 7.52682e-14 0 0
31.5512 0.451913 -0.00500001 7.98634e-14 0 0
31.6512 0.453342 -0.00500001 8.47228e-14 0 0
31.7512 0.454771 -0.00500001 8.98606e-14 0 0
31.8512 0.4562 -0.00500001 9.52917e-14 0 0
31.9512 0.457628 -0.00500001 1.01032e-13 0 0
32.0511 0.459057 -0.00500001 1.07097e-13 0 0
32.1511 0.460486 -0.00500001 1.13506e-13 0 0
32.2511 0.461915 -0.00500001 1.20275e-13 0 0
32.3511 0.463344 -0.00500001 1.27424e-13 0 0
32.4511 0.464773 -0.00500001 1.34974e-13 0 0
32.5511 0.466202 -0.00500001 1.42944e-13 0 0
32.6511 0.467631 -0.00500001 1.51357e-13 0 0
32.7511 0.46906 -0.00500001 1.60237e-13 0 0
32.8511 0.470489 -0.00500001 1.69606e-13 0 0
32.951 0.471918 -0.00500001 1.79492e-13 0 0
33.051 0.473347 -0.00500001 1.89919e-13 0 0
33.151 0.474776 -0.00500001 2.00917e-13 0 0
33.251 0.476205 -0.00500001 2.12514e-13 0 0
33.351 0.477634 -0.00500001 2.24741e-13 0 0
33.451 0.479063 -0.00500001 2.3763e-13 0 0
33.551 0.480493 -0.00500001 2.51214e-13 0 0
33.651 0.481922 -0.00500001 2.6553e-13 0 0
33.751 0.483351 -0.00500001 2.80613e-13 0 0
33.8509 0.48478 -0.00500001 2.96502e-13 0 0
33.9509 0.48621 -0.00500001 3.13237e-13 0 0
34.0509 0.487639 -0.00500001 3.30862e-13 0 0
34.1509 0.489068 -0.00500001 3.4942e-13 0 0
34.2509 0.490498 -0.00500001 3.68956e-13 0 0
34.3509 0.491927 -0.00500001 3.89521e-13 0 0
34.4509 0.493357 -0.00500001 4.11164e-13 0 0
34.5509 0.494786 -0.00500001 4.33938e-13 0 0
34.6509 0.496216 -0.00500001 4.579e-13 0 0
34.7508 0.497645 -0.00500001 4.83105e-13 0 0
34.8508 0.499075 -0.00500001 5.09616e-13 0 0
34.9508 0.500504 -0.00500001 5.37496e-13 0 0
35.0508 0.501934 -0.00500001 5.6681e-13 0 0
35.1508 0.503363 -0.00500001 5.97629e-13 0 0
35.2508 0.504793 -0.00500001 6.30023e-13 0 0
35.3508 0.506223 -0.00500001 6.64069e-13 0 0
35.4508 0.507652 -0.00500001 6.99845e-13 0 0
35.5508 0.509082 -0.00500001 7.37435e-13 0 0
35.6507 0.510512 -0.00500001 7.76923e-13 0 0
35.7507 0.511941 -0.00500001 8.18399e-13 0 0
35.8507 0.513371 -0.00500001 8.61959e-13 0 0
35.9507 0.514801 -0.00500001 9.07698e-13 0 0
36.0507 0.51623 -0.00500001 9.5572e-13 0 0
36.1507 0.51766 -0.00500001 1.00613e-12 0 0
36.2507 0.51909 -0.00500001 1.05904e-12 0 0
36.3507 0.52052 -0.00500001 1.11457e-12 0 0
36.4507 0.52195 -0.00500001 1.17284e-12 0 0
36.5506 0.523379 -0.00500001 1.23397e-12 0 0
36.6506 0.524809 -0.00500001 1.29809e-12 0 0
36.7506 0.526239 -0.00500001 1.36535e-12 0 0
36.8506 0.527669 -0.00500001 1.43589e-12 0 0
36.9506 0.529099 -0.00500001 1.50985e-12 0 0
37.0506 0.530529 -0.00500001 1.58739e-12 0 0
37.1506 0.531958 -0.00500001 1.66868e-12 0 0
37.2506 0.533388 -0.00500001 1.75388e-12 0 0
37.3506 0.534818 -0.00500001 1.84317e-12 0 0
37.4505 0.536248 -0.00500001 1.93673e-12 0 0
37.5505 0.537678 -0.00500001 2.03476e-12 0 0
37.6505 0.539108 -0.00500001 2.13745e-12 0 0
37.7505 0.540538 -0.00500001 2.24501e-12 0 0
37.8505 0.541968 -0.00500001 2.35766e-12 0 0
37.9505 0.543398 -0.00500001 2.47562e-12 0 0
38.0505 0.544828 -0.00500001 2.59913e-12 0 0
38.1505 0.546258 -0.00500001 2.72843e-12 0 0
38.2505 0.547688 -0.00500001 2.86378e-12 0 0
38.3505 0.549118 -0.00500001 3.00543e-12 0 0
38.4504 0.550548 -0.00500001 3.15367e-12 0 0
38.5504 0.551978 -0.00500001 3.30878e-12 0 0
38.6504 0.553408 -0.00500001 3.47106e-12 0 0
38.7504 0.554837 -0.00500001 3.64082e-12 0 0
38.8504 0.556267 -0.00500001 3.81837e-12 0 0
38.9504 0.557697 -0.00500001 4.00407e-12 0 0
39.0504 0.559127 -0.00500001 4.19825e-12 0 0
39.1504 0.560557 -0.00500001 4.40127e-12 0 0
39.2504 0.561987 -0.00500001 4.61352e-12 0 0
39.3503 0.563417 -0.00500001 4.83539e-12 0 0
39.4503 0.564847 -0.00500001 5.06727e-12 0 0
39.5503 0.566277 -0.00500001 5.30961e-12 0 0
39.6503 0.567707 -0.00500001 5.56283e-12 0 0
39.7503 0.569137 -0.00500001 5.8274e-12 0 0
39.8503 0.570567 -0.00500001 6.10378e-12 0 0
39.9503 0.571997 -0.00500001 6.39248e-12 0 0
40.0503 0.573427 -0.00500001 6.694e-12 0 0
40.1503 0.574857 -0.00500001 7.00887e-12 0 0
40.2502 0.576287 -0.00500001 7.33766e-12 0 0
40.3502 0.577717 -0.00500001 7.68093e-12 0 0
40.4502 0.579147 -0.00500001 8.03929e-12 0 0
40.5502 0.580577 -0.00500001 8.41334e-12 0 0
40.6502 0.582007 -0.00500001 8.80374e-12 0 0
40.7502 0.583437 -0.00500001 9.21115e-12 0 0
40.8502 0.584867 -0.00500001 9.63625e-12 0 0
40.9502 0.586297 -0.00500001 1.00798e-11 0 0
41.0502 0.587727 -0.00500001 1.05425e-11 0 0
41.1501 0.589157 -0.00500001 1.10251e-11 0 0
41.2501 0.590587 -0.00500001 1.15285e-11 0 0
41.3501 0.592017 -0.00500001 1.20535e-11 0 0
41.4501 0.593447 -0.00500001 1.26009e-11 0 0
41.5501 0.594877 -0.00500001 1.31716e-11 0 0
41.6501 0.596307 -0.00500001 1.37666e-11 0 0
41.7501 0.597737 -0.00500001 1.43868e-11 0 0
41.8501 0.599167 -0.00500001 1.50333e-11 0 0
41.9501 0.600597 -0.00500001 1.5707e-11 0 0
42.05 0.602027 -0.00500001 1.64091e-11 0 0
42.15 0.603456 -0.00500001 1.71406e-11 0 0
42.25 0.604886 -0.00500001 1.79027e-11 0 0
42.35 0.606316 -0.00500001 1.86966e-11 0 0
42.45 0.607746 -0.00500001 1.95235e-11 0 0
42.55 0.609176 -0.00500001 2.03848e-11 0 0
42.65 0.610606 -0.00500001 2.12817e-11 0 0
42.75 0.612036 -0.00500001 2.22157e-11 0 0
42.85 0.613465 -0.00500001 2.31881e-11 0 0
42.9499 0.614895 -0.00500001 2.42004e-11 0 0
43.0499 0.616325 -0.00500001 2.52542e-11 0 0
43.1499 0.617755 -0.00500001 2.63511e-11 0 0
43.2499 0.619185 -0.00500001 2.74926e-11 0 0
43.3499 0.620614 -0.00500001 2.86805e-11 0 0
43.4499 0.622044 -0.00500001 2.99166e-11 0 0
43.5499 0.623474 -0.00500001 3.12027e-11 0 0
43.6499 0.624904 -0.00500001 3.25406e-11 0 0
43.7499 0.626333 -0.00500001 3.39323e-11 0 0
43.8499 0.627763 -0.00500001 3.53798e-11 0 0
43.9498 0.629193 -0.00500001 3.68852e-11 0 0
44.0498 0.630623 -0.00500001 3.84507e-11 0 0
44.1498 0.632052 -0.00500001 4.00786e-11 0 0
44.2498 0.633482 -0.00500001 4.1771e-11 0 0
44.3498 0.634912 -0.00500001 4.35305e-11 0 0
44.4498 0.636341 -0.00500001 4.53594e-11 0 0
44.5498 0.637771 -0.00500001 4.72604e-11 0 0
44.6498 0.6392 -0.00500001 4.92361e-11 0 0
44.7498 0.64063 -0.00500001 5.12892e-11 0 0
44.8497 0.64206 -0.00500001 5.34226e-11 0 0
44.9497 0.643489 -0.00500001 5.56392e-11 0 0
45.0497 0.644919 -0.00500001 5.7942e-11 0 0
45.1497 0.646348 -0.00500001 6.03341e-11 0 0
45.2497 0.647778 -0.00500001 6.28188e-11 0 0
45.3497 0.649207 -0.00500001 6.53994e-11 0 0
45.4497 0.650637 -0.00500001 6.80794e-11 0 0
45.5497 0.652066 -0.00500001 7.08623e-11 0 0
45.6497 0.653496 -0.00500001 7.37518e-11 0 0
45.7496 0.654925 -0.00500001 7.67517e-11 0 0
45.8496 0.656355 -0.00500001 7.9866e-11 0 0
45.9496 0.657784 -0.00500001 8.30986e-11 0 0
46.0496 0.659213 -0.00500001 8.64539e-11 0 0
46.1496 0.660643 -0.00500001 8.99361e-11 0 0
46.2496 0.662072 -0.00500001 9.35497e-11 0 0
46.3496 0.663502 -0.00500001 9.72994e-11 0 0
46.4496 0.664931 -0.00500001 1.0119e-10 0 0
46.5496 0.66636 -0.00500001 1.05226e-10 0 0
46.6495 0.66779 -0.00500001 1.09413e-10 0 0
46.7495 0.669219 -0.00500001 1.13756e-10 0 0
46.8495 0.670648 -0.00500001 1.1826e-10 0 0
