#Time  flux(x0) flux(x1) flux(y0) flux(y1)
22034.3  -6.6e-05 6.5999e-05 0 0
22094.2  -6.6e-05 6.5999e-05 0 0
22154  -6.6e-05 6.5999e-05 0 0
22213.9  -6.6e-05 6.5999e-05 0 0
22273.8  -6.6e-05 6.5999e-05 0 0
22333.7  -6.6e-05 6.5999e-05 0 0
22393.6  -6.6e-05 6.5999e-05 0 0
22453.5  -6.6e-05 6.5999e-05 0 0
22513.4  -6.6e-05 6.5999e-05 0 0
22573.3  -6.6e-05 6.5999e-05 0 0
22633.2  -6.6e-05 6.5999e-05 0 0
22693.1  -6.6e-05 6.5999e-05 0 0
22753  -6.6e-05 6.5999e-05 0 0
22812.9  -6.6e-05 6.5999e-05 0 0
22872.8  -6.6e-05 6.5999e-05 0 0
22932.6  -6.6e-05 6.5999e-05 0 0
22992.5  -6.6e-05 6.5999e-05 0 0
23052.4  -6.6e-05 6.5999e-05 0 0
23112.3  -6.6e-05 6.5999e-05 0 0
23172.2  -6.6e-05 6.5999e-05 0 0
23232.1  -6.6e-05 6.5999e-05 0 0
23292  -6.6e-05 6.5999e-05 0 0
23351.9  -6.6e-05 6.5999e-05 0 0
23411.8  -6.6e-05 6.5999e-05 0 0
23471.7  -6.6e-05 6.5999e-05 0 0
23531.6  -6.6e-05 6.5999e-05 0 0
23591.5  -6.6e-05 6.5999e-05 0 0
23651.4  -6.6e-05 6.5999e-05 0 0
23711.3  -6.6e-05 6.5999e-05 0 0
23771.1  -6.6e-05 6.5999e-05 0 0
23831  -6.6e-05 6.5999e-05 0 0
23890.9  -6.6e-05 6.5999e-05 0 0
23950.8  -6.6e-05 6.5999e-05 0 0
24010.7  -6.6e-05 6.5999e-05 0 0
24070.6  -6.6e-05 6.5999e-05 0 0
24130.5  -6.6e-05 6.5999e-05 0 0
24190.4  -6.6e-05 6.5999e-05 0 0
24250.3  -6.6e-05 6.5999e-05 0 0
24310.2  -6.6e-05 6.5999e-05 0 0
24370.1  -6.6e-05 6.5999e-05 0 0
24430  -6.6e-05 6.5999e-05 0 0
24489.9  -6.6e-05 6.5999e-05 0 0
24549.8  -6.6e-05 6.5999e-05 0 0
24609.6  -6.6e-05 6.5999e-05 0 0
24669.5  -6.6e-05 6.5999e-05 0 0
24729.4  -6.6e-05 6.5999e-05 0 0
24789.3  -6.6e-05 6.5999e-05 0 0
24849.2  -6.6e-05 6.5999e-05 0 0
24909.1  -6.6e-05 6.5999e-05 0 0
24969  -6.6e-05 6.5999e-05 0 0
25028.9  -6.6e-05 6.5999e-05 0 0
25088.8  -6.6e-05 6.5999e-05 0 0
25148.7  -6.6e-05 6.5999e-05 0 0
25208.6  -6.6e-05 6.5999e-05 0 0
25268.5  -6.6e-05 6.5999e-05 0 0
25328.4  -6.6e-05 6.5999e-05 0 0
25388.3  -6.6e-05 6.5999e-05 0 0
25448.1  -6.6e-05 6.5999e-05 0 0
25508  -6.6e-05 6.5999e-05 0 0
25567.9  -6.6e-05 6.5999e-05 0 0
25627.8  -6.6e-05 6.5999e-05 0 0
25687.7  -6.6e-05 6.5999e-05 0 0
25747.6  -6.6e-05 6.5999e-05 0 0
25807.5  -6.6e-05 6.5999e-05 0 0
25867.4  -6.6e-05 6.5999e-05 0 0
25927.3  -6.6e-05 6.5999e-05 0 0
25987.2  -6.6e-05 6.5999e-05 0 0
26047.1  -6.6e-05 6.5999e-05 0 0
26107  -6.6e-05 6.5999e-05 0 0
26166.9  -6.6e-05 6.5999e-05 0 0
26226.8  -6.6e-05 6.5999e-05 0 0
26286.6  -6.6e-05 6.5999e-05 0 0
26346.5  -6.6e-05 6.5999e-05 0 0
26406.4  -6.6e-05 6.5999e-05 0 0
26466.3  -6.6e-05 6.5999e-05 0 0
26526.2  -6.6e-05 6.5999e-05 0 0
26586.1  -6.6e-05 6.5999e-05 0 0
26646  -6.6e-05 6.5999e-05 0 0
26705.9  -6.6e-05 6.5999e-05 0 0
26765.8  -6.6e-05 6.5999e-05 0 0
26825.7  -6.6e-05 6.5999e-05 0 0
